delivery_id,order_date,arrival_date,supplier_id,warehouse_id,product_id,unit_price,qty
DVSW_000001,01/10/2022,01/20/2022,SUPP_017,WRH_002,PRD_206,40.91,22
DVSW_000001,01/10/2022,01/20/2022,SUPP_017,WRH_002,PRD_263,20.79,12
DVSW_000001,01/10/2022,01/20/2022,SUPP_017,WRH_002,PRD_189,0.89,19
DVSW_000001,01/10/2022,01/20/2022,SUPP_017,WRH_002,PRD_088,2.59,43
DVSW_000001,01/10/2022,01/20/2022,SUPP_017,WRH_002,PRD_204,1.24,27
DVSW_000001,01/10/2022,01/20/2022,SUPP_017,WRH_002,PRD_202,17.72,30
DVSW_000001,01/10/2022,01/20/2022,SUPP_017,WRH_002,PRD_029,3.75,49
DVSW_000001,01/10/2022,01/20/2022,SUPP_017,WRH_002,PRD_031,0.34,11
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_304,19.26,20
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_213,3.93,12
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_145,4.94,18
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_134,14.1,14
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_176,26.23,33
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_042,2.6,32
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_018,2.93,43
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_159,3.32,49
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_249,12.65,17
DVSW_000002,01/13/2022,01/22/2022,SUPP_026,WRH_009,PRD_019,1.66,44
DVSW_000003,01/22/2022,02/01/2022,SUPP_010,WRH_009,PRD_130,14.17,22
DVSW_000003,01/22/2022,02/01/2022,SUPP_010,WRH_009,PRD_114,7.92,35
DVSW_000003,01/22/2022,02/01/2022,SUPP_010,WRH_009,PRD_307,124.66,42
DVSW_000003,01/22/2022,02/01/2022,SUPP_010,WRH_009,PRD_224,0.63,28
DVSW_000003,01/22/2022,02/01/2022,SUPP_010,WRH_009,PRD_006,3.11,46
DVSW_000003,01/22/2022,02/01/2022,SUPP_010,WRH_009,PRD_174,1.23,22
DVSW_000003,01/22/2022,02/01/2022,SUPP_010,WRH_009,PRD_014,2.02,13
DVSW_000004,01/26/2022,02/07/2022,SUPP_040,WRH_008,PRD_122,3.57,26
DVSW_000004,01/26/2022,02/07/2022,SUPP_040,WRH_008,PRD_092,26.36,27
DVSW_000004,01/26/2022,02/07/2022,SUPP_040,WRH_008,PRD_282,6.16,46
DVSW_000004,01/26/2022,02/07/2022,SUPP_040,WRH_008,PRD_125,2.5,39
DVSW_000004,01/26/2022,02/07/2022,SUPP_040,WRH_008,PRD_237,11.3,47
DVSW_000005,02/01/2022,02/10/2022,SUPP_004,WRH_001,PRD_203,16.08,20
DVSW_000005,02/01/2022,02/10/2022,SUPP_004,WRH_001,PRD_274,4.62,38
DVSW_000005,02/01/2022,02/10/2022,SUPP_004,WRH_001,PRD_152,0.51,49
DVSW_000005,02/01/2022,02/10/2022,SUPP_004,WRH_001,PRD_006,3.18,24
DVSW_000005,02/01/2022,02/10/2022,SUPP_004,WRH_001,PRD_281,9.54,39
DVSW_000005,02/01/2022,02/10/2022,SUPP_004,WRH_001,PRD_170,0.28,41
DVSW_000005,02/01/2022,02/10/2022,SUPP_004,WRH_001,PRD_052,3.59,15
DVSW_000006,02/05/2022,02/10/2022,SUPP_009,WRH_005,PRD_048,3.05,32
DVSW_000006,02/05/2022,02/10/2022,SUPP_009,WRH_005,PRD_129,4.53,31
DVSW_000006,02/05/2022,02/10/2022,SUPP_009,WRH_005,PRD_131,15.45,43
DVSW_000006,02/05/2022,02/10/2022,SUPP_009,WRH_005,PRD_106,3.21,28
DVSW_000006,02/05/2022,02/10/2022,SUPP_009,WRH_005,PRD_052,4.93,17
DVSW_000006,02/05/2022,02/10/2022,SUPP_009,WRH_005,PRD_134,5.91,48
DVSW_000006,02/05/2022,02/10/2022,SUPP_009,WRH_005,PRD_282,4.92,38
